PRODUTO_DESCRICAO,PRECO_PESQUISADO,ESTABELECIMENTO_REDE
"Cafe  Vacuo ""Pilao""",6.89,AGRICER
"Cafe  Almofada  ""3 Coracoes""",6.59,AGRICER
Acucar Cristal     ( + Barato ),6.58,AGRICER
Doce em Calda Abacaxi    ( + Barato ),6.49,AGRICER
Salsicha Tipo Vina Light- Peito de Peru,5.99,AGRICER
"PANETONE C/FRUTAS ""SANTA EDWIGES""",5.99,AGRICER
DETERGENTE LIQUIDO + BARATO,5.99,AGRICER
Pao Frances,5.99,AGRICER
GOIABADA (+ BARATO ) EXCETO CASCAO,5.98,AGRICER
"Detergente em Po ""Brilhante""",5.98,AGRICER
Mamao Papaya,5.98,AGRICER
Doce em Calda Pessego  ( + Barato ),5.95,AGRICER
"Shampoo ""Palmolive""    ( + Barato )",5.79,AGRICER
"Shampoo ""Seda""          ( + Barato )",5.75,AGRICER
"Sabao em Barra ""Ype""",5.69,AGRICER
"CAFE  ALMOFADA  ""BOM TAI""",5.68,AGRICER
"PANETTONE C/ FRUTAS ""NESTLÉ""",5.68,AGRICER
"PANETTONE C/ DOCE LEITE CREMOSO ""NESTLE""",5.68,AGRICER
"Cafe  Almofada  ""Alvorada"" Tradicional",5.68,AGRICER
"Sabao em Barra ""Minuano""",5.29,AGRICER
Doce em Calda Figo         ( + Barato ),4.99,AGRICER
"Refrigerante Descartavel  ""Coca Cola""",4.98,AGRICER
Oleo de Canola  ( + Barato ),4.98,AGRICER
"Amaciante de Roupa ""Mon Bijou""",4.89,AGRICER
"Amido de Milho ""Maizena""",4.89,AGRICER
Cafe  Almofada   ( + Barato ),4.88,AGRICER
"PANETTONE C/DOCE L MOCA GATEAU ""NESTLE""",4.88,AGRICER
Sabao em Barra   ( + Barato ),4.85,AGRICER
Frango Inteiro Congelado   ( + Barato ),4.79,AGRICER
"PANETTONE C/ GOTAS DE CHOCOLATE""PARATI""",4.79,AGRICER
AMACIANTE DE ROUPA  BABY SOFT,4.69,AGRICER
